"StateID" "Year" "area" "x_coord_centroid" "y_coord_centroid" "min_point_x" "max_point_x" "mean_point_x" "std_point_x" "min_point_y" "max_point_y" "mean_point_y" "std_point_y" "min_alt" "max_alt" "range_alt" "mean_alt" "std_alt" "sum_alt" "variety_alt" "majority_alt" "minority_alt" "median_alt" "flag" "notes" "flightsPFreq" "flightsCFreq" "shipsFreq" "flightsPTotal"
"25" "Algeria_Annaba" 2001 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA 1 NA
"26" "Algeria_Annaba" 1996 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"27" "Algeria_Annaba" 1997 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"28" "Algeria_Annaba" 1999 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"29" "Algeria_Annaba" 1998 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"30" "Algeria_Annaba" 2010 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"31" "Algeria_Annaba" 2006 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"32" "Algeria_Annaba" 2004 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"33" "Algeria_Annaba" 2003 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"34" "Algeria_Annaba" 2008 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
